Request ID,Test suite name,Test case name,Endpoint,Method,Status Code,Start time,Duration till headers received[ms],Duration till body received[ms],Request Body Length,Response Body Length,Test Result
1,App,Suite Setup,/g/aaa/authenticate,POST,200,2023-03-14 19:54:46,303,307,74,588,PASS
2,App,Suite Setup,/g/aaa/authorize,POST,200,2023-03-14 19:54:47,2488,2492,697,2575,PASS
3,App,Suite Setup,/g/user/list,GET,200,2023-03-14 19:54:49,774,778,0,175,PASS
4,App,Suite Setup,/g/aaa/logout,POST,204,2023-03-14 19:54:50,1491,1494,2,0,PASS
5,App,Suite Setup,/g/aaa/authenticate,POST,200,2023-03-14 19:54:51,371,374,82,586,PASS
6,App,Suite Setup,/g/aaa/authorize,POST,200,2023-03-14 19:54:52,683,686,697,2071,PASS
7,App,Suite Setup,/g/user/list,GET,200,2023-03-14 19:54:53,48,50,0,178,PASS
8,App,Suite Setup,/g/aaa/logout,POST,204,2023-03-14 19:54:53,70,73,2,0,PASS
9,App,Suite Setup,/g/aaa/authenticate,POST,200,2023-03-14 19:54:53,42,44,83,588,PASS
10,App,Suite Setup,/g/aaa/authorize,POST,200,2023-03-14 19:54:53,147,149,697,1608,PASS
11,App,Suite Setup,/g/user/list,GET,200,2023-03-14 19:54:53,578,581,0,183,PASS
12,App,Suite Setup,/g/aaa/logout,POST,204,2023-03-14 19:54:54,1173,1175,2,0,PASS
13,Login,Login as Reseller user,/g/aaa/authenticate,POST,200,2023-03-14 19:54:55,61,63,82,587,PASS
14,Login,Login as Reseller user,/g/aaa/authorize,POST,200,2023-03-14 19:54:55,760,764,697,2071,PASS
15,Login,Login as Reseller user,/g/user/list,GET,200,2023-03-14 19:54:56,23,26,0,178,PASS
16,Login,Login as Distributor user,/g/aaa/authenticate,POST,200,2023-03-14 19:54:56,310,313,74,586,PASS
17,Login,Login as Distributor user,/g/aaa/authorize,POST,200,2023-03-14 19:54:56,1840,1844,697,2574,PASS
18,Login,Login as Distributor user,/g/user/list,GET,200,2023-03-14 19:54:58,518,521,0,175,PASS
19,Login,Login as End user,/g/aaa/authenticate,POST,200,2023-03-14 19:54:58,50,53,83,589,PASS
20,Login,Login as End user,/g/aaa/authorize,POST,200,2023-03-14 19:54:59,108,111,697,1608,PASS
21,Login,Login as End user,/g/user/list,GET,200,2023-03-14 19:54:59,19,21,0,182,PASS
22,Logout,Logout as a Reseller User,/g/aaa/authenticate,POST,200,2023-03-14 19:54:59,86,88,82,587,PASS
23,Logout,Logout as a Reseller User,/g/aaa/authorize,POST,200,2023-03-14 19:54:59,799,804,697,2071,PASS
24,Logout,Logout as a Reseller User,/g/aaa/logout,POST,204,2023-03-14 19:55:00,56,60,2,0,PASS
25,Logout,Logout as a Reseller User,/g/user/list,GET,401,2023-03-14 19:55:00,16,18,0,24,PASS
26,Logout,Logout as a Distributor User,/g/aaa/authenticate,POST,200,2023-03-14 19:55:00,310,312,74,587,PASS
27,Logout,Logout as a Distributor User,/g/aaa/authorize,POST,200,2023-03-14 19:55:00,1804,1808,697,2574,PASS
28,Logout,Logout as a Distributor User,/g/aaa/logout,POST,204,2023-03-14 19:55:02,1720,1728,2,0,PASS
29,Logout,Logout as a Distributor User,/g/user/list,GET,401,2023-03-14 19:55:04,0,13,0,24,PASS
30,Logout,Logout as an End User,/g/aaa/authenticate,POST,200,2023-03-14 19:55:04,51,54,83,589,PASS
31,Logout,Logout as an End User,/g/aaa/authorize,POST,200,2023-03-14 19:55:04,664,667,697,1609,PASS
32,Logout,Logout as an End User,/g/aaa/logout,POST,204,2023-03-14 19:55:04,50,54,2,0,PASS
33,Logout,Logout as an End User,/g/user/list,GET,401,2023-03-14 19:55:04,10,13,0,24,PASS
34,Logout,Try to logout without session cookie,/g/aaa/logout,POST,401,2023-03-14 19:55:05,43,47,2,12,PASS
35,Logout,Try to logout without session cookie,/g/user/list,GET,401,2023-03-14 19:55:05,30,33,0,24,PASS
36,Authenticate,Try to authenticate with wrong password,/g/aaa/authenticate,POST,401,2023-03-14 19:55:05,45,47,84,12,PASS
37,Authenticate,Try to authenticate with wrong password,/g/user/list,GET,401,2023-03-14 19:55:05,17,20,0,24,PASS
38,Authenticate,Try to authenticate without password,/g/aaa/authenticate,POST,400,2023-03-14 19:55:05,98,100,55,42,PASS
39,Authenticate,Try to authenticate without password,/g/user/list,GET,401,2023-03-14 19:55:05,23,25,0,24,PASS
40,Authenticate,Try to authenticate without username,/g/aaa/authenticate,POST,400,2023-03-14 19:55:05,57,59,28,42,PASS
41,Authenticate,Try to authenticate without username,/g/user/list,GET,401,2023-03-14 19:55:05,548,550,0,24,PASS
42,Authenticate,Try to authenticate with an unexpected argument,/g/aaa/authenticate,POST,400,2023-03-14 19:55:06,27,30,142,47,PASS
43,Authenticate,Try to authenticate without username and password,/g/aaa/authenticate,POST,400,2023-03-14 19:55:06,30,32,2,54,PASS
44,Authenticate,Try to authenticate without username and password,/g/user/list,GET,401,2023-03-14 19:55:06,6,9,0,24,PASS
45,Authenticate,Try to authenticate with empty password,/g/aaa/authenticate,POST,401,2023-03-14 19:55:06,30,36,71,12,PASS
46,Authenticate,Try to authenticate with non-existing user,/g/aaa/authenticate,POST,401,2023-03-14 19:55:06,145,147,72,12,PASS
47,Authenticate,Check authentication is valid,/g/aaa/authenticate,POST,200,2023-03-14 19:55:06,775,778,83,589,PASS
